ID:3 Coord[2.281331,2.281331,2.281331]
ID:3 Coord[2.325007,2.325007,2.325007]
ID:3 Coord[2.325644,2.325644,2.325644]
ID:3 Coord[2.325612,2.325612,2.325612]
ID:3 Coord[2.325560,2.325560,2.325560]
ID:3 Coord[2.325490,2.325490,2.325490]
ID:3 Coord[2.324711,2.324711,2.324711]
ID:3 Coord[2.324708,2.324708,2.324708]
ID:3 Coord[2.324704,2.324704,2.324704]
ID:3 Coord[2.324700,2.324700,2.324700]
ID:3 Coord[2.325114,2.325114,2.325114]
ID:3 Coord[2.325117,2.325117,2.325117]
ID:3 Coord[2.325118,2.325118,2.325118]
ID:3 Coord[2.325119,2.325119,2.325119]
ID:3 Coord[2.325006,2.325006,2.325006]
ID:3 Coord[2.325643,2.325643,2.325643]
ID:3 Coord[2.325612,2.325612,2.325612]
ID:3 Coord[2.325559,2.325559,2.325559]
ID:3 Coord[2.325487,2.325487,2.325487]
ID:3 Coord[2.324710,2.324710,2.324710]
ID:3 Coord[2.324816,2.324816,2.324816]
ID:3 Coord[2.324773,2.324773,2.324773]
ID:3 Coord[2.324790,2.324790,2.324790]
ID:3 Coord[2.325015,2.325015,2.325015]
ID:3 Coord[2.325018,2.325018,2.325018]
ID:3 Coord[2.325020,2.325020,2.325020]
ID:3 Coord[2.325021,2.325021,2.325021]
ID:3 Coord[2.324987,2.324987,2.324987]
ID:3 Coord[2.324988,2.324988,2.324988]
ID:3 Coord[2.324989,2.324989,2.324989]
ID:3 Coord[2.324990,2.324990,2.324990]
ID:3 Coord[2.325001,2.325001,2.325001]
ID:3 Coord[2.325001,2.325001,2.325001]
ID:3 Coord[2.325002,2.325002,2.325002]
ID:3 Coord[2.325002,2.325002,2.325002]
ID:3 Coord[2.324999,2.324999,2.324999]
ID:3 Coord[2.324999,2.324999,2.324999]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325000,2.325000,2.325000]
ID:3 Coord[2.325851,2.325851,2.325851]
ID:3 Coord[2.326702,2.326702,2.326702]
ID:3 Coord[2.326452,2.326452,2.326452]
ID:3 Coord[2.326217,2.326217,2.326217]
ID:3 Coord[2.326408,2.326408,2.326408]
ID:3 Coord[2.326550,2.326550,2.326550]
ID:3 Coord[2.326765,2.326765,2.326765]
ID:3 Coord[2.326982,2.326982,2.326982]
ID:3 Coord[2.327183,2.327183,2.327183]
ID:3 Coord[2.327357,2.327357,2.327357]
ID:3 Coord[2.327500,2.327500,2.327500]
ID:3 Coord[2.327623,2.327623,2.327623]
ID:3 Coord[2.327718,2.327718,2.327718]
ID:3 Coord[2.327851,2.327851,2.327851]
ID:3 Coord[2.327898,2.327898,2.327898]
ID:3 Coord[2.327935,2.327935,2.327935]
ID:3 Coord[2.327965,2.327965,2.327965]
ID:3 Coord[2.327989,2.327989,2.327989]
ID:3 Coord[2.328007,2.328007,2.328007]
ID:3 Coord[2.328022,2.328022,2.328022]
ID:3 Coord[2.328035,2.328035,2.328035]
ID:3 Coord[2.328044,2.328044,2.328044]
ID:3 Coord[2.328053,2.328053,2.328053]
ID:3 Coord[2.328059,2.328059,2.328059]
ID:3 Coord[2.328064,2.328064,2.328064]
ID:3 Coord[2.328068,2.328068,2.328068]
ID:3 Coord[2.328071,2.328071,2.328071]
ID:3 Coord[2.328074,2.328074,2.328074]
ID:3 Coord[2.328076,2.328076,2.328076]
ID:3 Coord[2.328078,2.328078,2.328078]
ID:3 Coord[2.328079,2.328079,2.328079]
ID:3 Coord[2.328080,2.328080,2.328080]
ID:3 Coord[2.328081,2.328081,2.328081]
ID:3 Coord[2.328082,2.328082,2.328082]
ID:3 Coord[2.328082,2.328082,2.328082]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328083,2.328083,2.328083]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
ID:3 Coord[2.328084,2.328084,2.328084]
