ID3	X:-2.330165	Y:0.333113	Z:1.575009

ID3	X:-2.330175	Y:0.333135	Z:1.574975

ID3	X:-2.330358	Y:0.333132	Z:1.575097

ID3	X:-2.330402	Y:0.333135	Z:1.575115

ID3	X:-2.330294	Y:0.333147	Z:1.574960

ID3	X:-2.330238	Y:0.333156	Z:1.574894

ID3	X:-2.330204	Y:0.333161	Z:1.574863

ID3	X:-2.330179	Y:0.333166	Z:1.574848

ID3	X:-2.330049	Y:0.333176	Z:1.574836

ID3	X:-2.330004	Y:0.333181	Z:1.574837

ID3	X:-2.329995	Y:0.333183	Z:1.574843

ID3	X:-2.330001	Y:0.333184	Z:1.574850

ID3	X:-2.330059	Y:0.333181	Z:1.574879

ID3	X:-2.330082	Y:0.333180	Z:1.574890

ID3	X:-2.330091	Y:0.333180	Z:1.574893

ID3	X:-2.330093	Y:0.333180	Z:1.574893

ID3	X:-2.330078	Y:0.333182	Z:1.574884

ID3	X:-2.330062	Y:0.333183	Z:1.574875

ID3	X:-2.330057	Y:0.333184	Z:1.574873

ID3	X:-2.330058	Y:0.333184	Z:1.574874

ID3	X:-2.330061	Y:0.333184	Z:1.574876

ID3	X:-2.330064	Y:0.333184	Z:1.574878

ID3	X:-2.330066	Y:0.333184	Z:1.574879

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330082	Y:0.333183	Z:1.574887

ID3	X:-2.330083	Y:0.333183	Z:1.574887

ID3	X:-2.330083	Y:0.333183	Z:1.574887

ID3	X:-2.330079	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574884

ID3	X:-2.330077	Y:0.333183	Z:1.574884

ID3	X:-2.330077	Y:0.333183	Z:1.574884

ID3	X:-2.330079	Y:0.333183	Z:1.574885

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330080	Y:0.333183	Z:1.574886

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330074	Y:0.333183	Z:1.574882

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330081	Y:0.333183	Z:1.574887

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330080	Y:0.333183	Z:1.574886

ID3	X:-2.330075	Y:0.333183	Z:1.574882

ID3	X:-2.330074	Y:0.333183	Z:1.574882

ID3	X:-2.330077	Y:0.333183	Z:1.574884

ID3	X:-2.330081	Y:0.333183	Z:1.574886

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330075	Y:0.333183	Z:1.574883

ID3	X:-2.330076	Y:0.333183	Z:1.574883

ID3	X:-2.330081	Y:0.333183	Z:1.574887

ID3	X:-2.330082	Y:0.333183	Z:1.574887

ID3	X:-2.330079	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330079	Y:0.333183	Z:1.574884

ID3	X:-2.330079	Y:0.333183	Z:1.574884

ID3	X:-2.330079	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330077	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574884

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

ID3	X:-2.330078	Y:0.333183	Z:1.574885

